name, artist, album, genre, played
One,Ed Sheeran,x (Wembley Edition),Pop,28
"Bernstein: West Side Story Suite - Cha-Cha, Scherzo",Eric Crees: Philip Jones Brass Ensemble,Brass Band Spectacular,Other Classical,28
Everybody Wants To Rule the World,Lorde,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack) [Deluxe Edition],Soundtrack,28
Track 11,M L Vasanthakumari,Thiruppavai Vol 1,Genre,28
Track 12,M L Vasanthakumari,Thiruppavai Vol 1,Genre,28
SAAVIRAHE THAVA DEENA,NITYASANTOSHINI,SRI JAYADEVA ASHTAPADI,Other,28
Dhan Te Nan,Sukhvinder Singh and Vishal Dadlani,Kaminey,Other Indian Subcontinent,28
May Be,Yiruma,Missing You,New Age,28
The Mission: Gabriel's Oboe,Yo-Yo Ma,Yo-Yo Ma Plays Ennio Morricone,Neo-Classical,28
Take It All,Adele,21,Pop,27
Here,Alessia Cara,Know-It-All (Deluxe),Pop,27
Zinda,Amit Trivedi,Lootera (Original Motion Picture Soundtrack) - EP,Bollywood,27
Iktara (MTV Unplugged Version),Amit Trivedi & Kavita Seth,Iktara - Single,Indian Pop,27
That’s What I Like,Bruno Mars,24K Magic,Pop,27
Hypnotised,Coldplay,Hypnotised - Single,Alternative,27
Anbil Avan,"Devan Ekambaram, Chinmayee",Vinnaithandi Varuvayya,A.R.Rahman - Tamil,27
Manamaganini Sathiyam-StarMusiQ.Com,Haricharan,Kochadaiyaan,StarMusiQ.Com,27
Thunder,Imagine Dragons,Evolve,Alternative,27
Praying,Kesha,Rainbow,Pop,27
Green Light,Lorde,Melodrama,Alternative,27
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,Red Pill Blues (Deluxe),Pop,27
Elastic Heart (feat. The Weeknd & Diplo),Sia,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack) [Deluxe Edition],Soundtrack,27
"Rhapsody on a theme of Paganini, Op. 43: Variation 18",Simon Rattle,The Most Relaxing Piano Album In The World...ever! CD 2,Classical,27
Flowerdale,YBS Band,Hymn of the Highlands,Other Pop,27
